Case,Quadrat number,Agrocani,Antedioi,Anthodor,Baldalpe,Callpalu,Callvulg,Careechi,Carelepo,Carenigr,Carerost,Drosrotu,Eleoacic,Erictetr,Euphmini,Festiber,Gagesole,Galisaxa,Isoeechi,Jasilaev,Juncbulb,Juncsqua,Junctena,Luzumult,Lythport,Mofon,Narcbulb,Nardstri,Phythemi,Pilogall,Planalpi,Polyvulg,Poteerec,Ranuaqua,Rumeacet,Sedubrev,Sparangu,Stelalsi,Vaccmyrt,Violpalu
1,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,12,0,0,0,0,1,81,0,0,0,0,3,0,0,0,0,0,0,0
2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,2,0,1,0,0,0,0,0,0,1,65,0,0,0,2,0,0,0,0,0,0,0,0
3,9,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,1,77,1,0,0,0,0,0,0,1,0,0,0,0
4,10,0,0,0,0,0,2,0,0,3,0,0,0,0,1,6,0,1,0,0,0,0,0,0,0,0,1,75,1,1,0,0,0,0,0,0,0,0,0,0
5,11,0,0,0,0,0,0,2,4,36,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,16,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8,0,1,0,0,0,0,0,0,0,0,1,63,0,0,0,1,4,0,0,0,0,0,11,0
7,17,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,55,0,0,0,1,0,0,0,0,0,0,0,0
8,20,0,0,0,0,0,2,0,0,3,0,0,0,0,1,8,0,3,0,1,0,0,0,0,0,0,1,72,1,0,0,1,1,0,1,0,0,0,0,0
9,23,0,0,0,0,0,0,3,0,30,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,1,0,0,0,0,0,0,0
10,24,0,0,0,0,0,35,0,0,0,0,0,0,3,0,3,1,1,0,0,0,5,0,0,0,0,1,45,0,0,0,1,5,0,0,0,0,0,0,0
11,25,0,0,0,0,0,4,0,0,2,0,0,0,3,0,2,0,1,0,0,0,50,0,0,0,0,1,30,0,0,0,0,3,0,0,0,0,0,0,0
12,28,0,0,1,0,0,0,0,0,2,0,0,0,0,0,12,0,2,0,0,0,28,0,0,0,0,1,46,0,0,0,1,3,0,0,0,0,0,0,0
13,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0
14,33,0,0,0,0,0,0,0,0,4,0,0,0,17,0,0,0,1,0,0,0,29,0,0,0,0,1,39,0,0,0,1,3,0,0,0,0,0,0,0
15,34,0,0,0,0,0,75,0,0,0,0,0,0,1,0,0,0,2,0,0,0,2,0,0,0,0,1,16,0,0,0,1,2,0,0,0,0,0,0,0
16,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,38,0,0,0,0,0,14,0,0,2,0,0,0,1,0,10,0,1,0,1,0,10,0,1,0,0,1,52,0,0,1,1,3,0,0,0,0,0,0,0
18,41,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0
19,43,0,0,0,0,0,10,0,0,0,0,0,0,15,0,14,0,1,0,0,0,20,0,0,0,0,1,30,0,0,0,2,6,0,0,0,0,0,0,0
20,45,0,0,1,0,0,25,0,0,0,0,0,0,0,0,20,0,2,0,0,0,30,0,0,0,0,1,15,0,0,0,0,4,0,0,0,0,0,0,0
21,49,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,1,85,1,0,0,1,0,0,1,0,0,0,0,0
22,51,0,0,0,4,0,0,1,2,30,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
23,55,0,0,0,0,0,3,0,0,0,0,0,0,1,0,10,0,2,0,1,0,6,0,0,0,0,1,70,0,0,0,0,0,0,0,0,0,0,0,0
24,58,0,0,0,0,0,0,0,0,0,0,0,0,5,0,11,0,2,0,1,0,9,0,0,0,0,1,63,0,0,0,1,4,0,0,0,0,0,0,0
25,65,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,0,0,0,0,1,31,0,0,0,0,0,0,0,0,0,0,0,0
26,67,0,0,0,0,0,25,0,0,0,0,0,0,10,0,15,0,1,0,1,0,20,0,0,0,0,1,20,0,0,0,2,5,0,0,0,0,0,0,0
27,69,0,2,0,0,0,10,0,0,0,0,0,0,20,0,30,0,1,0,0,0,5,0,0,0,0,1,20,0,0,0,1,5,0,0,0,0,0,0,0
28,146,0,0,0,0,6,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,1,0,0
29,147,1,0,0,0,0,1,3,0,30,0,2,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,1,0,0,0,0,0,0,0
30,148,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0
31,155,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0
32,159,0,0,0,0,0,0,0,2,50,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
33,160,1,0,0,0,0,0,5,1,40,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,161,0,0,0,0,0,0,4,0,45,0,7,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,164,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
36,169,2,0,0,0,0,0,2,0,25,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,3,0,0,0,0,0,0,0
37,171,8,0,0,0,0,0,3,0,30,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0
38,172,5,0,0,0,0,3,5,0,20,0,2,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,1
