Case,Quadrat number,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
1,4,0.180,0.614,0.000,0.328,0.491,0.733,0.666,0.000,0.469,0.066,0.194,0.000,0.070,0.024,0.283,1.147,0.000,0.000,0.379,0.000,0.000,0.057,0.038,0.536,0.047,0.069,0.000,0.027,0.000,0.781,0.055,0.552,0.375,0.000,0.000,0.000,0.000,0.150,1.005,0.835,0.256,0.686,0.096,0.000,0.000,0.640,0.565,0.072,0.000,0.681,0.090,0.028,0.000,0.361,0.529,0.415,0.000,0.265,0.214,0.000,0.468,0.000,0.012,1.020,0.000,0.041,0.008,0.565,0.214,0.000,0.530,0.341,0.529,0.000,0.000,0.674,0.191,0.058,0.750,0.468,0.142,0.259,0.086,0.452,0.000,0.000,0.000,0.589,1.203,0.164,0.162,0.844,0.968,0.230,0.040
2,8,0.379,0.414,0.022,0.231,0.435,0.341,0.076,0.030,0.186,0.050,0.150,0.000,0.020,0.063,0.366,0.741,0.000,0.000,0.265,0.000,0.462,0.000,0.829,0.666,0.100,0.221,0.359,0.000,0.061,0.043,0.015,0.434,0.208,0.094,0.048,0.000,0.000,0.275,0.255,0.467,0.235,0.228,0.294,0.067,0.000,0.016,0.237,0.219,0.245,0.262,0.341,0.096,0.264,0.300,0.071,0.330,0.095,0.182,0.421,0.102,0.007,0.000,0.051,0.312,0.100,0.159,0.163,0.018,0.082,0.100,0.536,0.280,0.053,0.360,0.000,0.191,0.249,0.060,0.149,0.392,0.838,0.318,0.114,0.079,0.000,0.000,0.009,0.472,0.894,0.288,0.156,0.439,0.114,0.279,0.092
3,9,0.000,0.551,0.012,0.000,0.480,1.187,0.353,0.000,0.000,0.000,0.368,0.382,0.000,0.037,0.503,0.381,0.601,0.033,0.000,0.000,0.000,0.000,0.000,0.065,0.000,0.000,0.000,0.416,0.000,0.213,0.000,0.292,0.000,0.000,0.000,0.000,0.000,0.213,0.154,0.193,0.003,0.000,0.000,0.000,0.060,0.000,0.017,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.328,0.489,0.000,0.150,0.000,0.000,0.146,0.220,0.000,0.415,0.000,0.058,0.000,0.000,0.549,0.000,0.170,0.384,0.000,0.000,0.000,0.000,0.000,0.651,0.000,0.307,0.219,0.000,0.000,0.000,0.000,0.192,0.216,0.006,0.000,0.493,0.000,0.000,0.000
4,10,0.457,0.862,0.034,0.663,0.588,1.027,0.320,0.049,0.713,0.135,0.294,0.000,0.000,0.000,0.313,0.975,0.289,0.000,0.028,0.173,0.029,0.070,0.573,1.198,0.514,0.256,0.000,0.073,0.000,0.000,0.071,0.871,0.352,0.011,0.135,0.000,0.000,0.194,0.217,0.837,0.269,0.000,0.593,0.118,0.040,0.194,0.249,0.448,0.102,0.121,0.137,0.000,0.000,0.158,0.129,0.645,0.057,0.198,0.238,0.030,0.058,0.000,0.499,0.592,0.111,0.095,0.871,0.385,0.227,0.016,0.939,0.433,0.155,0.100,0.202,0.802,0.326,0.068,0.401,0.655,0.096,0.470,0.591,0.036,0.020,0.000,0.383,0.757,0.624,1.089,0.242,0.287,0.182,0.394,0.096
5,11,0.512,0.577,0.011,0.000,0.753,0.302,0.000,0.732,0.478,0.112,0.081,0.740,0.072,0.000,0.173,0.678,0.000,0.000,0.000,0.053,0.075,0.056,0.000,0.413,0.370,0.218,0.000,0.397,0.000,0.070,0.000,0.241,0.625,0.000,0.000,0.000,0.000,0.095,0.056,0.704,0.162,0.070,0.092,0.000,0.236,0.000,0.306,0.000,0.489,0.069,0.106,0.000,0.030,0.000,0.413,0.342,0.406,0.354,0.000,0.067,0.431,0.000,0.000,0.831,0.174,0.271,0.000,0.000,0.389,0.197,0.258,0.342,1.224,0.000,0.019,0.107,0.000,0.116,0.000,0.111,0.000,0.533,0.000,0.034,0.000,0.000,0.504,0.290,0.409,0.164,0.055,0.520,0.232,0.382,0.000
6,16,0.006,0.297,0.067,0.208,0.318,0.441,0.006,0.137,0.619,0.248,0.467,0.000,0.000,0.301,0.218,0.677,0.063,0.195,0.550,0.000,0.229,0.126,0.197,0.155,0.000,0.268,0.122,0.000,0.000,0.032,0.388,0.439,0.206,0.000,0.318,0.000,0.000,0.000,0.314,0.464,0.264,0.120,0.076,0.000,0.000,0.450,0.563,0.006,0.002,0.018,0.000,0.000,0.000,0.000,0.128,0.000,0.000,0.106,0.000,0.000,0.335,0.000,0.000,0.182,0.000,0.000,0.000,0.000,0.000,0.000,0.179,0.574,0.704,0.020,0.000,0.429,0.000,0.000,0.000,0.058,0.719,0.139,0.000,0.000,0.000,0.288,0.000,0.228,0.056,0.000,0.000,0.545,0.000,0.379,0.000
7,17,0.416,0.455,0.024,0.253,0.479,0.374,0.084,0.034,0.205,0.000,0.165,0.000,0.022,0.069,0.402,0.814,0.000,0.000,0.291,0.000,0.507,0.000,0.911,0.732,0.110,0.243,0.395,0.000,0.000,0.047,0.016,0.477,0.229,0.103,0.053,0.000,0.000,0.302,0.280,0.513,0.258,0.251,0.323,0.073,0.000,0.018,0.261,0.240,0.270,0.288,0.375,0.106,0.290,0.329,0.078,0.363,0.104,0.200,0.462,0.112,0.008,0.000,0.056,0.343,0.110,0.175,0.180,0.020,0.090,0.110,0.589,0.308,0.058,0.395,0.000,0.210,0.274,0.066,0.163,0.431,0.921,0.349,0.126,0.087,0.000,0.000,0.010,0.518,0.983,0.316,0.171,0.483,0.125,0.307,0.101
8,20,0.218,0.595,0.192,0.329,1.096,1.074,0.706,0.878,0.252,0.335,0.505,0.000,0.785,0.064,0.267,0.892,0.000,0.000,0.045,0.000,0.071,0.118,0.039,1.123,0.155,0.273,0.205,0.000,0.000,0.212,0.939,1.225,0.179,0.000,0.036,0.000,0.000,0.931,0.867,0.811,1.065,0.131,0.146,0.178,0.000,0.108,0.734,0.560,0.085,0.948,0.164,0.045,0.012,0.111,0.127,0.988,0.510,0.358,0.194,0.000,0.076,0.000,0.663,0.291,0.415,0.047,0.026,0.190,0.030,0.000,0.976,0.690,0.319,0.154,0.000,0.546,0.046,0.020,0.000,0.931,0.144,0.949,0.112,0.000,0.000,0.000,0.000,0.553,0.743,0.367,0.172,0.746,0.063,0.476,0.049
9,23,0.464,0.193,0.015,0.000,0.000,0.098,0.480,0.000,0.478,0.515,0.611,0.000,0.000,0.000,0.302,0.836,0.023,0.000,0.131,0.000,0.000,0.000,0.259,0.044,0.707,0.138,0.000,0.000,0.000,0.000,0.026,0.543,0.395,1.398,0.000,0.000,0.000,0.000,0.351,0.000,0.840,0.000,0.000,0.172,0.261,0.316,0.000,0.000,1.081,0.558,0.183,0.000,0.000,0.000,0.000,0.617,0.000,0.384,0.094,0.000,0.172,0.000,0.147,0.380,0.000,0.066,0.000,0.000,0.175,0.000,0.911,0.329,0.060,0.000,0.000,0.000,0.293,0.000,0.111,0.404,1.607,0.222,0.000,0.000,0.000,0.000,0.024,0.891,0.215,0.000,0.226,0.000,0.000,1.028,0.814
10,24,0.572,0.549,0.048,0.251,0.801,0.967,0.130,0.000,0.368,0.195,0.310,0.000,0.108,0.066,0.291,0.773,0.000,0.000,0.011,0.000,0.000,0.092,0.474,1.235,0.958,0.622,0.000,0.035,0.000,0.114,0.291,0.593,0.466,0.000,0.006,0.000,0.000,0.292,0.179,0.430,0.282,0.053,0.054,0.087,0.222,0.116,0.183,0.095,0.082,0.587,0.166,0.016,0.000,0.391,0.239,0.898,0.446,0.314,0.137,0.180,0.192,0.000,0.950,0.391,0.173,0.084,0.043,0.914,0.225,0.040,0.261,1.047,0.665,0.000,0.000,0.647,0.193,0.017,0.423,0.409,0.485,0.361,0.320,0.347,0.000,0.000,0.062,0.505,0.610,0.857,0.870,0.520,0.672,0.383,0.169
11,25,1.060,0.427,0.000,1.099,0.654,0.674,0.865,0.840,0.062,0.125,0.564,0.000,0.000,0.072,1.009,0.923,0.000,0.080,0.546,0.000,0.000,0.060,0.013,0.962,0.376,0.030,0.000,0.000,0.000,0.000,0.154,0.968,0.013,0.000,0.000,0.000,0.000,0.169,0.180,0.568,0.143,0.171,0.148,0.140,0.026,0.010,0.100,0.000,0.000,0.074,0.011,0.000,0.000,0.195,0.669,0.573,0.023,0.214,0.227,0.009,0.276,0.000,0.000,0.298,0.000,0.000,0.017,0.437,0.277,0.000,0.522,0.404,0.458,0.000,0.000,1.326,0.360,1.025,0.492,1.008,0.273,0.101,0.313,0.169,0.000,0.000,0.000,0.542,0.437,0.342,0.011,0.382,0.000,0.557,0.649
12,28,0.492,0.537,0.095,0.467,0.468,0.710,0.622,0.624,0.398,0.111,0.214,0.000,0.000,0.026,0.493,0.912,0.000,0.039,0.248,0.000,0.000,0.000,0.423,0.569,0.135,0.180,0.000,0.000,0.000,0.000,0.168,0.568,0.250,0.000,0.000,0.000,0.000,0.041,0.382,0.575,0.228,0.000,0.205,0.000,0.075,0.166,0.303,0.089,0.000,0.635,0.000,0.000,0.230,0.142,0.363,0.439,0.027,0.333,0.061,0.000,0.000,0.000,0.351,0.532,0.093,0.031,0.021,0.125,0.000,0.000,0.380,0.437,0.295,0.000,0.000,0.520,0.218,0.054,0.716,0.779,0.174,0.093,0.102,0.191,0.000,0.000,0.181,0.552,0.825,0.426,0.229,0.491,0.317,0.405,0.233
13,31,0.657,0.286,0.244,0.576,1.009,1.030,0.176,0.831,0.625,0.048,0.732,0.000,0.000,0.000,0.265,1.302,0.041,0.000,0.291,0.050,0.000,0.235,0.000,0.745,0.561,0.246,0.000,0.000,0.000,0.019,0.000,0.646,0.019,0.000,0.000,0.000,0.000,0.130,0.100,0.533,0.640,0.924,0.957,0.589,0.052,0.634,0.167,0.055,0.084,0.790,0.695,0.109,0.000,0.338,1.108,1.228,0.201,0.822,0.252,0.000,0.178,0.000,0.349,0.554,0.244,0.060,0.134,1.112,0.151,0.000,1.128,0.203,0.044,0.000,0.013,0.985,0.355,0.226,0.187,1.091,0.687,0.906,0.650,0.036,0.000,0.489,0.040,0.562,1.057,0.195,0.071,0.797,0.086,0.783,0.084
14,33,0.458,0.500,0.089,0.434,0.435,0.661,0.578,0.581,0.370,0.103,0.199,0.000,0.000,0.024,0.459,0.849,0.064,0.036,0.230,0.000,0.000,0.000,0.393,0.529,0.125,0.167,0.000,0.000,0.000,0.002,0.156,0.529,0.232,0.000,0.000,0.000,0.000,0.038,0.355,0.534,0.212,0.000,0.191,0.000,0.070,0.154,0.282,0.083,0.000,0.590,0.000,0.000,0.213,0.132,0.338,0.409,0.025,0.310,0.057,0.005,0.000,0.000,0.327,0.495,0.086,0.029,0.019,0.117,0.000,0.000,0.353,0.407,0.274,0.000,0.000,0.484,0.203,0.050,0.666,0.724,0.162,0.087,0.095,0.177,0.000,0.000,0.168,0.514,0.767,0.396,0.213,0.457,0.295,0.377,0.216
15,34,0.811,1.164,0.000,0.031,0.877,0.872,0.170,0.000,0.103,0.000,0.576,0.000,0.488,0.000,0.141,1.255,0.000,0.000,0.000,0.307,0.000,0.436,0.701,0.290,0.000,0.017,0.000,0.031,0.000,0.000,0.414,0.352,0.215,0.071,0.000,0.621,0.322,0.501,0.000,0.803,0.297,0.000,0.430,0.000,0.000,0.165,0.729,0.000,0.000,0.072,0.000,0.000,0.062,0.406,0.828,0.411,0.288,0.718,0.000,0.072,0.060,0.351,0.062,0.110,0.000,0.000,0.128,0.000,0.000,0.000,0.760,0.171,0.110,0.000,0.156,0.000,0.258,0.000,0.000,0.506,0.507,0.000,0.135,0.000,0.000,0.000,0.810,0.591,0.755,0.716,0.089,0.359,0.436,0.453,0.196
16,37,0.913,0.065,0.000,0.033,0.066,0.000,0.043,0.330,0.450,0.091,0.000,0.000,0.058,0.000,0.019,0.682,0.000,0.000,0.027,0.000,0.000,0.000,0.408,0.148,0.076,0.207,0.000,0.000,0.000,0.162,0.044,0.205,0.654,0.000,0.000,0.000,0.000,0.000,0.984,0.728,0.163,0.097,0.000,0.309,0.000,0.000,0.872,0.200,0.328,0.071,0.029,0.000,0.000,0.000,0.534,0.243,0.000,0.032,0.000,0.000,0.000,0.400,0.120,0.183,0.000,0.099,0.244,0.000,0.001,0.386,0.023,0.219,0.128,0.000,0.158,0.592,0.015,0.000,0.159,0.574,0.000,0.000,0.465,0.000,0.000,0.000,0.804,0.625,0.333,0.143,0.299,0.331,0.783,0.460,0.111
17,38,0.959,0.592,0.007,0.723,0.697,1.247,0.092,0.589,0.081,0.591,0.131,0.000,0.076,0.000,0.336,0.962,0.000,0.000,0.006,0.000,0.000,0.123,0.497,1.112,0.404,0.011,0.000,0.000,0.000,0.000,0.155,0.769,0.156,0.000,0.000,0.000,0.000,0.050,0.120,0.810,0.658,0.082,0.204,0.000,0.000,0.131,0.339,1.024,0.000,0.885,0.033,0.000,0.000,0.149,0.123,0.497,0.084,0.259,0.000,0.005,0.238,0.000,0.396,0.221,0.100,0.199,0.038,0.101,0.057,0.320,0.421,0.294,0.123,0.382,0.000,0.474,0.254,0.131,0.000,1.039,0.181,0.450,0.238,0.000,0.000,0.000,0.748,0.531,0.825,0.987,0.061,0.734,1.033,0.319,0.412
18,41,0.308,0.381,0.073,0.815,0.590,1.006,0.098,0.292,0.447,0.053,0.580,0.000,0.000,0.000,0.355,1.427,0.000,0.048,0.524,0.043,0.000,0.507,0.025,0.957,0.426,0.219,0.000,0.000,0.000,0.053,0.210,0.718,0.080,0.000,0.098,0.000,0.000,0.339,0.181,0.485,0.613,0.525,0.432,0.394,0.018,0.619,0.241,0.523,0.135,0.419,0.396,0.140,0.000,0.390,0.499,0.821,0.051,0.530,0.167,0.032,0.191,0.000,0.397,0.374,0.062,0.058,0.110,0.638,0.108,0.120,0.938,0.491,0.115,0.000,0.000,0.868,0.374,0.217,0.293,0.982,0.444,0.725,0.620,0.053,0.000,0.191,0.487,0.613,0.741,0.332,0.100,0.770,0.044,0.956,0.135
