Case,Quadrat number,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
19,43,0.082,0.573,0.259,0.972,0.723,0.040,0.095,0.251,0.437,0.422,0.325,0.000,0.000,0.000,0.415,1.046,0.000,0.000,0.287,0.000,0.340,0.118,0.020,0.028,1.048,0.226,0.000,0.000,0.000,0.000,0.407,0.583,0.245,0.000,0.000,0.000,0.000,0.014,0.000,0.161,0.102,0.064,0.265,0.000,0.000,0.000,0.000,0.249,0.000,0.622,0.000,0.000,0.835,0.057,0.548,0.657,0.000,0.413,0.350,0.021,0.964,0.000,0.679,0.266,0.037,0.000,0.166,0.597,0.133,0.000,0.243,0.678,0.000,0.000,0.000,1.267,0.346,0.000,0.385,0.552,0.174,0.894,0.092,0.680,0.000,0.000,0.000,0.496,0.641,0.000,0.185,1.366,0.796,0.838,0.000
20,45,0.345,0.533,0.187,0.202,0.346,0.689,0.454,0.804,0.515,0.123,0.041,0.000,0.000,0.003,0.321,0.754,0.000,0.036,0.023,0.000,0.000,0.000,0.803,0.366,0.053,0.303,0.000,0.000,0.000,0.000,0.225,0.354,0.295,0.000,0.000,0.000,0.000,0.000,0.156,0.425,0.248,0.000,0.280,0.000,0.134,0.000,0.262,0.139,0.000,0.867,0.000,0.000,0.450,0.000,0.113,0.368,0.042,0.414,0.000,0.000,0.000,0.000,0.683,0.384,0.182,0.041,0.029,0.000,0.000,0.000,0.220,0.485,0.084,0.000,0.000,0.020,0.152,0.000,0.783,0.789,0.134,0.003,0.000,0.064,0.000,0.000,0.355,0.517,0.798,0.582,0.363,0.350,0.138,0.401,0.112
21,49,0.879,0.521,0.034,0.199,0.991,0.998,0.786,0.000,0.163,0.960,0.242,0.000,0.041,0.019,0.230,1.187,0.000,0.203,0.022,0.265,0.000,0.575,0.236,0.402,0.249,0.106,0.000,0.017,0.394,0.058,0.868,0.525,0.158,0.000,0.000,0.000,0.420,0.396,0.896,0.443,0.384,0.146,0.196,0.011,0.497,0.092,0.261,0.000,0.000,0.568,0.306,0.599,0.164,0.440,0.099,0.414,0.128,0.086,0.000,0.000,0.002,0.472,0.058,0.134,0.034,0.534,0.538,0.000,0.000,0.000,0.264,0.449,0.402,0.117,0.299,0.214,0.544,0.000,0.466,0.338,0.381,0.310,0.179,0.557,0.000,0.751,0.197,0.644,1.065,0.963,0.099,0.667,0.043,0.393,0.056
22,51,0.946,0.363,0.000,1.352,0.788,1.125,1.156,0.000,0.090,0.017,1.135,0.000,0.150,0.184,0.742,0.928,0.286,0.000,0.777,0.111,0.000,1.213,0.076,0.391,0.822,0.126,0.269,0.000,0.000,0.000,0.000,1.124,0.163,0.055,0.285,0.055,0.000,0.184,0.145,1.107,0.449,0.201,0.246,0.600,0.000,0.738,0.181,0.066,0.183,0.490,0.353,0.524,0.000,0.381,1.203,0.839,0.000,0.479,0.794,0.464,0.510,0.000,0.013,0.427,0.072,0.673,0.216,0.969,0.300,0.000,0.320,0.885,0.713,0.000,0.000,1.056,0.630,0.000,0.116,0.394,0.259,0.000,0.556,0.036,0.000,0.055,0.124,0.583,1.140,0.558,0.298,0.419,0.080,0.830,0.441
23,55,0.490,0.948,0.000,0.835,0.463,0.987,0.427,0.793,0.297,0.259,0.580,0.000,0.462,0.000,0.330,0.972,0.000,0.000,0.009,0.302,0.000,0.420,0.881,0.369,0.816,0.210,0.000,0.651,0.240,0.171,0.047,0.737,0.307,0.000,0.000,0.000,0.000,0.214,0.972,0.799,0.303,0.260,0.000,0.000,0.004,0.000,0.086,0.023,0.000,0.135,0.025,0.000,0.441,0.124,0.910,0.538,0.038,0.853,0.000,0.000,0.000,0.000,0.048,0.427,0.469,0.042,0.000,0.038,0.088,0.035,0.536,0.318,0.656,0.000,0.000,0.255,0.168,0.000,0.172,0.373,0.219,0.411,0.037,0.006,0.000,0.000,0.127,0.338,0.342,0.703,0.733,1.178,0.309,0.336,0.056
24,58,0.713,1.064,0.000,0.282,0.439,0.729,0.271,0.000,0.504,0.348,0.713,0.000,0.426,0.000,0.248,1.229,0.240,0.000,0.000,0.285,0.051,0.269,0.477,0.499,0.171,0.080,0.000,0.044,0.000,0.000,0.622,0.487,0.210,0.036,0.154,0.311,0.161,0.610,0.255,0.577,0.502,0.000,0.228,0.000,0.000,0.082,0.527,0.000,0.125,0.346,0.000,0.000,0.066,0.262,0.560,0.420,0.393,0.616,0.215,0.036,0.069,0.322,0.031,0.228,0.000,0.064,0.249,0.000,0.000,0.171,0.480,0.126,0.628,0.000,0.078,0.345,0.288,0.000,0.000,0.407,0.462,0.050,0.306,0.000,0.000,0.000,0.605,0.643,0.910,0.907,0.526,0.457,0.496,0.615,0.452
25,65,0.880,0.846,0.114,0.420,0.627,0.503,0.316,0.385,0.304,0.111,0.182,0.000,0.000,0.002,0.212,0.902,0.000,0.113,0.027,0.023,0.000,0.000,0.113,0.440,0.410,0.066,0.238,0.721,0.122,0.534,0.365,1.074,0.066,0.059,0.145,0.000,0.000,0.865,0.579,0.413,0.459,0.118,0.060,0.000,0.854,0.848,0.329,0.137,0.000,0.470,0.078,0.000,0.111,0.594,1.013,0.193,0.537,0.182,0.097,0.000,0.556,0.000,0.091,0.265,0.019,0.024,0.143,0.131,0.178,0.136,0.576,0.283,0.629,0.000,0.000,0.448,0.888,0.042,0.068,0.748,0.673,0.293,0.186,0.000,0.000,0.304,0.263,0.896,1.206,0.171,0.502,1.055,0.354,0.465,0.056
26,67,0.615,0.963,0.000,0.533,0.000,0.587,0.373,0.638,0.905,0.696,0.850,0.000,0.363,0.626,0.355,1.203,0.479,0.000,0.750,0.264,0.101,0.102,0.253,0.707,0.342,0.143,0.029,0.057,0.000,0.454,0.831,0.622,0.206,0.001,0.308,0.000,0.000,0.718,0.509,0.352,0.707,0.388,0.026,0.090,0.224,0.000,0.326,0.699,0.250,0.621,0.418,0.000,0.069,0.118,0.292,0.428,0.498,0.513,0.431,0.000,0.079,0.293,0.000,0.347,0.000,0.129,0.370,0.759,0.680,0.343,0.201,0.081,1.146,0.000,0.000,0.691,0.317,0.081,0.229,0.309,0.416,0.099,0.476,0.929,0.147,0.000,0.401,0.695,1.064,1.098,0.964,0.555,0.555,0.776,0.707
27,69,0.006,0.288,0.065,0.202,0.309,0.428,0.006,0.133,0.601,0.241,0.453,0.000,0.000,0.293,0.212,0.657,0.061,0.190,0.534,0.000,0.223,0.122,0.191,0.150,0.000,0.260,0.118,0.000,0.000,0.031,0.376,0.426,0.200,0.000,0.308,0.000,0.000,0.000,0.305,0.451,0.256,0.116,0.074,0.000,0.000,0.437,0.547,0.006,0.002,0.017,0.000,0.000,0.000,0.000,0.124,0.000,0.000,0.103,0.000,0.000,0.326,0.000,0.000,0.177,0.000,0.000,0.000,0.000,0.000,0.000,0.173,0.557,0.683,0.020,0.000,0.417,0.000,0.000,0.000,0.056,0.698,0.135,0.000,0.000,0.000,0.280,0.000,0.222,0.054,0.000,0.000,0.529,0.000,0.368,0.000
28,146,0.283,0.943,0.034,0.745,0.007,0.606,0.000,0.000,0.000,0.000,1.356,0.000,0.000,0.000,0.157,0.587,0.000,0.000,0.489,0.000,0.000,0.081,0.000,0.478,1.570,0.000,0.000,0.000,0.000,0.000,0.000,0.391,0.000,0.000,0.000,0.000,0.000,0.920,0.000,0.917,1.242,0.327,0.287,0.056,0.000,0.819,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.665,0.000,0.678,0.000,0.000,0.752,0.000,0.189,0.000,0.000,0.323,0.000,0.000,0.353,1.290,0.311,0.000,0.088,0.036,0.000,0.000,0.000,0.968,0.917,0.000,0.000,0.407,0.989,0.594,0.786,0.000,0.000,0.000,0.000,0.725,0.328,0.000,0.163,0.000,0.000,0.743,0.000
29,147,0.906,1.208,0.334,0.067,0.503,0.100,0.173,0.665,0.870,0.292,0.157,0.000,0.000,0.000,0.771,1.159,0.017,0.414,0.000,0.000,0.000,0.010,0.049,0.515,0.047,0.225,0.000,0.031,0.000,0.182,0.416,0.850,0.105,0.000,0.245,0.000,0.000,0.000,0.000,0.393,0.703,0.031,0.024,0.000,0.000,0.000,0.140,0.175,0.353,0.305,0.330,0.039,0.000,0.343,0.479,0.223,0.117,0.292,0.000,0.000,0.673,0.000,0.156,0.427,0.498,0.587,0.257,0.000,0.447,0.000,0.617,0.903,0.306,0.251,0.000,0.343,0.051,0.000,0.310,0.807,0.433,0.201,0.065,0.000,0.000,0.555,0.000,1.019,0.585,0.120,0.432,0.888,0.000,0.721,0.029
30,148,0.000,0.485,0.042,1.333,0.335,1.088,0.128,0.045,0.355,0.159,0.969,0.000,0.073,0.000,0.413,1.696,0.000,0.190,1.252,0.117,0.000,0.440,0.051,0.532,0.660,0.456,0.000,0.002,0.000,0.013,0.126,0.867,0.156,0.000,0.386,0.000,0.041,0.809,0.313,0.730,1.561,1.100,0.569,0.488,0.021,1.122,0.285,0.078,0.448,0.645,0.473,0.047,0.000,0.924,0.383,0.932,0.000,0.484,0.402,0.126,0.372,0.000,0.021,0.345,0.000,0.051,0.144,1.153,0.271,0.472,0.427,0.439,0.294,0.000,0.000,1.399,0.560,0.560,0.874,1.075,0.651,0.691,0.885,0.079,0.000,0.072,0.019,0.634,0.760,0.671,0.106,0.569,0.029,1.429,0.159
31,155,0.275,0.361,0.000,0.643,0.486,0.913,0.041,0.134,0.386,0.000,0.286,0.000,0.000,0.000,0.357,1.299,0.000,0.000,0.256,0.000,0.000,0.657,0.024,1.238,0.224,0.079,0.000,0.000,0.000,0.088,0.348,0.652,0.070,0.000,0.000,0.000,0.000,0.195,0.149,0.320,0.101,0.018,0.083,0.234,0.000,0.336,0.246,0.960,0.000,0.104,0.193,0.196,0.000,0.133,0.233,0.530,0.000,0.386,0.001,0.000,0.100,0.000,0.595,0.285,0.000,0.058,0.078,0.118,0.000,0.000,1.062,0.642,0.056,0.000,0.000,0.510,0.276,0.033,0.044,0.842,0.202,0.624,0.449,0.046,0.000,0.094,0.925,0.603,0.545,0.218,0.107,0.827,0.030,0.768,0.144
32,159,0.417,0.405,0.000,0.148,0.338,0.232,0.065,0.000,0.602,0.366,0.131,0.000,0.028,0.000,0.839,0.958,0.000,0.000,0.145,0.000,0.000,0.000,0.841,0.313,0.215,0.380,0.000,0.000,0.030,0.000,0.771,0.515,0.596,0.000,0.166,0.000,0.000,0.000,0.142,0.422,0.266,0.071,0.103,0.000,0.000,0.672,0.830,0.000,0.000,0.632,0.164,0.000,0.615,0.000,0.560,0.659,0.419,0.550,0.000,0.000,0.061,0.000,0.000,0.294,0.258,0.107,0.310,0.000,0.011,0.091,0.778,0.967,0.195,0.603,0.000,0.000,0.177,0.184,0.005,0.521,0.000,0.016,0.000,0.000,0.000,0.334,0.000,1.248,0.603,0.754,0.972,0.307,0.000,0.230,0.000
33,160,0.712,1.031,0.000,0.321,0.563,0.797,0.110,0.619,0.293,0.178,0.105,0.000,0.093,0.000,0.358,1.270,0.000,0.260,0.202,0.000,0.000,0.784,0.637,0.422,0.627,0.882,0.000,0.000,0.000,0.000,0.145,0.716,0.159,0.000,0.000,0.000,0.000,0.087,0.041,0.417,0.167,0.221,0.089,0.480,0.000,0.952,0.678,0.000,0.882,0.347,0.580,0.123,0.000,0.281,0.191,0.213,0.078,0.663,0.000,0.000,0.108,0.000,0.639,0.375,0.000,0.161,0.000,0.321,0.464,0.000,0.720,0.374,0.207,0.000,0.000,0.753,0.449,0.249,0.000,0.533,0.385,0.287,0.836,0.182,0.000,0.000,0.110,0.915,1.039,0.298,0.196,0.418,0.221,0.663,0.000
34,161,0.627,0.576,0.000,0.441,0.592,0.596,0.323,0.328,0.355,0.163,0.352,0.179,0.000,0.000,0.512,0.930,0.069,0.000,0.273,0.000,0.000,0.498,0.377,0.373,0.493,0.389,0.000,0.096,0.000,0.000,0.222,0.630,0.374,0.000,0.109,0.000,0.000,0.089,0.093,0.643,0.253,0.137,0.129,0.262,0.057,0.573,0.484,0.000,0.377,0.373,0.292,0.157,0.156,0.160,0.574,0.498,0.219,0.496,0.193,0.129,0.269,0.000,0.158,0.467,0.122,0.294,0.128,0.313,0.283,0.070,0.503,0.623,0.567,0.146,0.000,0.465,0.305,0.133,0.000,0.378,0.156,0.203,0.337,0.000,0.000,0.094,0.179,0.736,0.774,0.430,0.369,0.403,0.129,0.510,0.107
35,164,0.646,0.593,0.000,0.455,0.610,0.613,0.333,0.338,0.365,0.168,0.363,0.185,0.000,0.000,0.528,0.958,0.072,0.000,0.281,0.000,0.000,0.513,0.388,0.385,0.508,0.401,0.000,0.099,0.000,0.000,0.229,0.649,0.386,0.526,0.112,0.000,0.000,0.000,0.096,0.662,0.260,0.141,0.132,0.270,0.059,0.590,0.498,0.460,0.388,0.384,0.301,0.162,0.161,0.165,0.591,0.513,0.225,0.511,0.198,0.133,0.277,0.000,0.163,0.481,0.126,0.303,0.131,0.322,0.291,0.072,0.519,0.641,0.584,0.151,0.000,0.479,0.314,0.137,0.000,0.389,0.161,0.209,0.348,0.000,0.000,0.097,0.184,0.758,0.797,0.443,0.380,0.415,0.133,0.526,0.110
36,169,0.000,0.441,0.000,0.674,0.048,1.195,1.181,0.000,0.717,0.819,0.382,0.000,0.000,0.000,0.000,0.038,0.000,0.000,0.000,0.000,0.000,0.000,0.114,0.172,0.163,0.000,0.000,0.000,0.000,0.000,0.330,0.038,0.687,0.645,0.000,0.000,0.000,0.000,0.000,0.368,0.886,0.099,0.175,0.000,0.218,0.000,0.536,0.696,0.000,0.749,0.075,0.000,0.000,0.000,0.000,0.424,0.014,0.821,0.000,0.000,0.113,0.000,0.000,0.841,0.000,0.624,0.236,0.000,0.000,0.180,0.303,0.647,0.571,0.000,0.000,0.110,0.162,0.000,0.000,0.077,0.902,0.000,0.000,0.000,0.000,0.000,0.136,0.921,1.031,0.000,0.000,0.000,0.000,0.354,0.659
37,171,0.205,1.001,0.000,0.357,0.721,0.383,0.556,0.000,0.081,0.833,0.723,0.000,0.049,0.000,0.725,0.831,0.000,0.000,0.000,0.000,0.000,0.099,0.000,0.000,0.013,0.140,0.000,0.000,0.000,0.000,0.000,0.429,0.154,0.690,0.000,0.000,0.000,0.000,0.111,0.840,0.568,0.000,0.025,0.627,0.000,0.611,0.000,0.542,0.714,0.324,0.170,0.000,0.000,0.176,0.253,0.768,0.063,0.101,0.000,0.000,0.000,0.000,0.000,0.722,0.000,0.000,0.382,0.000,0.000,0.092,0.603,0.288,0.083,0.000,0.000,0.501,0.000,0.000,0.000,0.498,0.500,0.251,0.240,0.000,0.000,0.000,0.410,0.786,0.816,0.000,0.022,0.227,0.597,0.947,0.295
38,172,0.668,0.811,0.686,1.431,1.019,1.660,0.780,0.838,2.507,1.745,1.670,0.747,0.000,0.539,1.247,1.340,0.371,0.118,1.000,0.636,0.000,1.060,0.406,0.682,1.759,1.584,0.000,0.055,0.000,0.063,0.813,1.102,0.284,2.558,0.434,0.000,0.000,0.754,0.062,1.288,1.845,0.549,0.964,1.050,1.180,1.469,0.264,0.021,2.274,1.925,0.813,0.839,0.090,0.706,0.536,0.822,1.888,1.633,0.508,0.061,1.038,0.000,0.000,0.695,0.606,0.220,1.288,0.552,1.056,0.929,0.495,1.136,2.152,0.343,0.440,0.872,1.969,0.000,0.500,0.633,1.993,1.811,1.008,0.173,0.000,0.003,0.936,0.658,1.900,0.573,0.239,0.731,0.518,1.792,0.414
